유기번호,품종,나이,체중,색상,성별,중성화여부,상태,접수일,발견장소,특징,썸네일,기준날짜
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
441401202201624,믹스견,2017,13,흰,M,N,보호중,20221106,은행119센터 근처,성격 온순,http://www.animal.go.kr/files/shelter/2022/11/202211061711666_s.jpg,20221107
441401202201623,믹스견,2022,10,금,M,N,보호중,20221106,조남동 694,"쓰러져서 발견, 교통사고 추정",http://www.animal.go.kr/files/shelter/2022/11/202211061611806_s.jpg,20221107
441401202201622,진도견,2010,12,흰,M,N,종료(반환),20221106,은계초교 앞,파란색 옷 착용,http://www.animal.go.kr/files/shelter/2022/11/202211061511963_s.jpg,20221107
441386202201194,말티즈,2012,3.4,흰,M,Y,종료(반환),20221106,소사로 742번길 11,"치석많음,왼쪽가슴종양,내장칩있음(소유주연락중)",http://www.animal.go.kr/files/shelter/2022/11/202211061411454_s.jpg,20221107
441404202201164,믹스견,2022,1,흰,F,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211283_s.jpg,20221107
441404202201163,믹스견,2022,1,,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211282_s.jpg,20221107
441404202201162,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/20221106221192_s.jpg,20221107
441404202201161,믹스견,2022,1,흰,M,N,보호중,20221106,미사동487-7,박스에 버러진얘기들,http://www.animal.go.kr/files/shelter/2022/11/202211062211133_s.jpg,20221107
441393202202127,믹스견,2020,13,흰갈,M,N,보호중,20221106,팔곡파출소에서 인수,"초록색목줄,순함,호박색눈,왼쪽뺨에 까만점",http://www.animal.go.kr/files/shelter/2022/11/202211070911857_s.jpg,20221107
441393202202126,진도견,2020,17,흰,M,N,보호중,20221106,안산119안전센터에서 인수,"핑크코,파란색목줄,겁이많음,낯가림",http://www.animal.go.kr/files/shelter/2022/11/202211070911852_s.jpg,20221107
426331202200592,포메라니안,2019,2.6,흰,M,N,보호중,20221106,우암파출소,예민함,http://www.animal.go.kr/files/shelter/2022/11/202211071011793_s.jpg,20221107
441394202202387,믹스견,2022,2.3,흰,F,N,보호중,20221106,대자동623,없음,http://www.animal.go.kr/files/shelter/2022/11/202211061611500_s.jpg,20221107
428356202201655,푸들,2021,4.7,갈,M,N,보호중,20221106,가좌동 118,방울 달린 초록색 목줄 착용. 겁 많음. 순함.,http://www.animal.go.kr/files/shelter/2022/11/202211061611932_s.jpg,20221107
429363202200746,믹스견,2019,4.5,흰갈,F,U,보호중,20221106,광산구 월곡동,22-1129 여명,http://www.animal.go.kr/files/shelter/2022/11/20221106151121_s.jpg,20221107
429363202200745,믹스견,2020,12,갈검,F,U,보호중,20221106,광산구 신창동,22-1128 디바,http://www.animal.go.kr/files/shelter/2022/11/202211061511922_s.jpg,20221107
429362202201057,믹스견,2022,2,흰갈,M,N,보호중,20221106,북구 본촌동,22-1127 두들,http://www.animal.go.kr/files/shelter/2022/11/202211061511363_s.jpg,20221107
